City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Hokitika,NZ,-42.7167,170.9667,49.71,74,98,1.68,overcast clouds
Aquiraz,BR,-3.9014,-38.3911,89.22,51,24,11.68,few clouds
Severo-Kurilsk,RU,50.6789,156.125,38.48,95,100,4.81,light rain
College Place,US,46.0493,-118.3883,80.56,51,37,1.03,scattered clouds
Jatiroto,ID,-7.8833,111.1167,74.21,94,30,1.39,scattered clouds
Kawalu,ID,-7.3817,108.2082,73.99,98,86,0.83,overcast clouds
Bhatkal,IN,13.9667,74.5667,81.54,84,89,6.06,light rain
Basco,PH,20.4487,121.9702,83.86,82,80,7.72,broken clouds
Plouzane,FR,48.3833,-4.6167,80.78,45,0,5.7,clear sky
Sitangkai,PH,4.6628,119.3928,83.32,73,99,3.29,overcast clouds
Swan Hill,AU,-35.3378,143.5544,50.07,67,14,6.82,few clouds
Lakatoro,VU,-16.0999,167.4164,74.35,79,100,13.0,overcast clouds
Saintes,FR,45.6667,-0.75,81.5,67,70,8.28,broken clouds
Santa Maria,BR,-29.6842,-53.8069,63.7,59,0,2.19,clear sky
Inuvik,CA,68.3499,-133.7218,29.41,75,90,10.36,overcast clouds
Anadyr,RU,64.75,177.4833,30.7,68,0,1.05,clear sky
Nabire,ID,-3.3667,135.4833,78.19,91,100,2.71,overcast clouds
Uvinza,TZ,-5.1036,30.3911,76.75,59,86,3.42,overcast clouds
Itarema,BR,-2.9248,-39.9167,87.12,59,6,11.56,clear sky
Kalmunai,LK,7.4167,81.8167,82.65,78,71,4.7,broken clouds
Nyurba,RU,63.2842,118.3319,52.2,87,88,4.27,overcast clouds
Aswan,EG,24.0934,32.907,112.14,8,1,16.87,clear sky
Tynda,RU,55.1667,124.7167,51.49,77,83,2.26,broken clouds
Sur,OM,22.5667,59.5289,94.64,39,0,6.85,clear sky
Chicxulub,MX,21.1333,-89.5167,84.06,55,77,6.96,broken clouds
Tagusao,PH,9.1924,117.8141,82.38,79,100,3.96,overcast clouds
Byron Bay,AU,-28.65,153.6167,56.88,86,59,3.8,broken clouds
Jacqueville,CI,5.2052,-4.4146,87.71,75,98,9.78,overcast clouds
Namtsy,RU,62.7161,129.6658,50.11,77,10,4.63,clear sky
Roald,NO,62.5833,6.1333,81.1,82,12,5.75,fog
Adet,ET,11.2644,37.4888,77.76,23,100,10.25,overcast clouds
Half Moon Bay,US,37.4636,-122.4286,68.99,85,90,11.5,fog
Khani,GE,41.9563,42.9566,62.17,76,60,4.14,light rain
Kushima,JP,31.4583,131.2333,66.51,92,34,4.99,scattered clouds
Kavieng,PG,-2.5744,150.7967,77.27,93,100,7.85,heavy intensity rain
Aldan,RU,58.6031,125.3894,47.77,92,100,6.22,light rain
Bambanglipuro,ID,-7.95,110.2833,60.6,88,62,4.34,broken clouds
Smidovich,RU,48.6,133.8167,54.37,93,100,10.74,light rain
Bull Savanna,JM,17.8868,-77.5902,81.97,60,2,6.96,clear sky
Dawei,MM,14.0833,98.2,80.44,87,3,0.98,clear sky
Moen,NO,69.1304,18.6123,68.72,34,0,8.05,clear sky
Husavik,IS,66.0449,-17.3389,46.31,87,100,3.29,moderate rain
Luwuk,ID,-0.9516,122.7875,77.67,86,98,3.91,overcast clouds
Kollam,IN,8.8833,76.6,82.27,85,70,8.79,broken clouds
Salta,AR,-24.7859,-65.4117,62.89,54,0,4.14,clear sky
Kalianget,ID,-7.05,113.9333,81.23,72,19,9.98,few clouds
Ahipara,NZ,-35.1667,173.1667,56.01,83,26,5.53,scattered clouds
Russell,US,32.3502,-85.1999,78.8,61,73,7.27,broken clouds
Cukai,MY,4.25,103.4167,82.35,87,48,6.06,scattered clouds
Saint-Joseph,RE,-21.3667,55.6167,73.78,76,39,11.68,scattered clouds
Maragogi,BR,-9.0122,-35.2225,82.02,64,52,9.26,broken clouds
Marienburg,PL,54.0359,19.0266,59.76,73,100,6.15,overcast clouds
San Cristobal,VE,7.7669,-72.225,71.78,95,100,3.91,overcast clouds
Hami,CN,42.8,93.45,83.23,10,40,8.88,scattered clouds
Soe,ID,-9.8607,124.284,65.7,96,53,4.52,broken clouds
Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,81,20,3.65,few clouds
Tamboril,DO,19.4854,-70.611,82.69,89,40,6.91,scattered clouds
Waldoboro,US,44.0954,-69.3756,70.68,64,100,7.38,overcast clouds
Svarstad,NO,59.399,9.9698,78.71,39,100,6.73,overcast clouds
That Phanom,TH,16.9364,104.7104,89.73,51,99,5.35,overcast clouds
Ixtapa,MX,20.7,-105.2,83.23,63,100,3.29,overcast clouds
Hofn,IS,64.2539,-15.2082,44.04,89,100,16.89,moderate rain
Grindavik,IS,63.8424,-22.4338,49.95,66,75,18.7,broken clouds
Novosergiyevka,RU,52.0934,53.6528,74.28,64,99,11.25,moderate rain
Khopoli,IN,18.7833,73.3333,78.35,83,100,4.38,moderate rain
Estepa,ES,37.2926,-4.879,74.79,26,6,15.82,clear sky
Shahr-E Babak,IR,30.1165,55.1186,91.51,6,0,3.2,clear sky
Vrangel,RU,42.7297,133.0839,52.93,97,100,4.85,overcast clouds
Pangody,RU,65.85,74.4859,54.09,39,86,14.67,overcast clouds
Garoua,CM,9.3,13.4,90.0,45,0,5.75,light rain
Nusaybin,TR,37.0778,41.2178,92.79,14,0,18.41,clear sky
Swidnica,PL,50.8438,16.4886,66.6,44,85,6.42,overcast clouds
Ostrovnoy,RU,68.0531,39.5131,42.87,65,97,11.43,overcast clouds
Faanui,PF,-16.4833,-151.75,79.29,74,67,15.19,broken clouds
Komsomolskiy,UZ,40.4272,71.7189,92.12,16,43,0.0,scattered clouds
Olinda,BR,-8.0089,-34.8553,80.33,65,40,9.17,scattered clouds
Plettenberg Bay,ZA,-34.0527,23.3716,60.55,70,10,10.09,clear sky
Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.15,63,45,9.22,scattered clouds
Matay,EG,28.419,30.7792,98.58,14,0,15.55,clear sky
Shache,CN,38.4167,77.2406,77.77,25,100,9.13,overcast clouds
Auki,SB,-8.7676,160.7034,77.74,89,100,3.33,overcast clouds
Fort Walton Beach,US,30.4058,-86.6188,83.52,74,90,5.01,overcast clouds
Tchollire,CM,8.4022,14.1698,85.57,46,100,3.09,overcast clouds
Ciudad Bolivar,VE,8.1222,-63.5497,86.52,58,78,11.23,broken clouds
Mount Isa,AU,-20.7333,139.5,64.17,59,40,0.0,scattered clouds
Guarapari,BR,-20.6667,-40.4975,82.9,80,94,6.17,overcast clouds
Santiago,CL,-33.4569,-70.6483,65.17,55,90,4.61,overcast clouds
Merauke,ID,-8.4667,140.3333,76.19,87,100,14.58,overcast clouds
Boyolangu,ID,-8.1181,111.8935,74.23,90,21,1.36,few clouds
Odweyne,SO,9.4092,45.064,80.65,46,78,19.71,broken clouds
Lavrentiya,RU,65.5833,-171.0,29.35,77,8,12.28,clear sky
Aklavik,CA,68.2191,-135.0107,29.23,86,90,10.36,overcast clouds
Muros,ES,42.7762,-9.0603,64.9,81,97,10.27,overcast clouds
Korla,CN,41.7597,86.1469,79.66,26,98,15.55,overcast clouds
Alofi,NU,-19.0595,-169.9187,73.29,94,75,2.3,light rain
Chandbali,IN,20.7833,86.7667,85.91,80,2,8.05,clear sky
Sabha,LY,27.0377,14.4283,102.63,11,29,10.49,scattered clouds
Rengo,CL,-34.4167,-70.8667,57.52,65,100,2.89,overcast clouds
Qasigiannguit,GL,68.8193,-51.1922,36.64,73,33,7.25,scattered clouds
Ayagoz,KZ,47.9714,80.4392,67.05,61,100,10.18,overcast clouds
Oia,PT,40.5426,-8.5386,66.36,68,100,7.87,overcast clouds
Kyabe,TD,9.4515,18.9449,94.6,36,73,5.5,light rain
Xinzhou,CN,38.4092,112.7333,70.27,47,98,3.71,overcast clouds
Nan,TH,18.8333,100.6667,80.42,71,80,1.12,broken clouds
Evensk,RU,61.95,159.2333,45.28,69,100,6.91,overcast clouds
Bardiyah,LY,31.7561,25.0865,73.69,56,33,16.6,scattered clouds
Hovd,MN,48.0056,91.6419,55.78,24,0,2.73,clear sky
Pochutla,MX,15.7432,-96.4661,87.82,56,100,3.31,overcast clouds
Mahibadhoo,MV,3.7833,72.9667,84.06,67,93,16.8,overcast clouds
Issaquah,US,47.5301,-122.0326,69.84,73,18,1.99,few clouds
Angoram,PG,-4.0625,144.0661,73.09,100,100,0.56,overcast clouds
Amahai,ID,-3.3333,128.9167,78.66,86,67,4.27,broken clouds
Manggar,ID,-2.8833,108.2667,82.81,77,19,7.34,few clouds
Fereydun Kenar,IR,36.6864,52.5225,84.51,67,0,8.75,clear sky
Batticaloa,LK,7.7102,81.6924,83.84,75,64,5.1,broken clouds
Ferme-Neuve,CA,46.7001,-75.4493,62.38,54,100,7.58,overcast clouds
Pacific Grove,US,36.6177,-121.9166,58.95,93,90,1.01,mist
Saint-Leu,RE,-21.15,55.2833,74.26,92,8,11.9,clear sky
Harare,ZW,-17.8294,31.0539,51.66,53,48,6.38,scattered clouds
Westport,US,41.1415,-73.3579,73.18,69,100,1.99,overcast clouds
Salinopolis,BR,-0.6136,-47.3561,85.87,64,24,8.1,few clouds
Ixmiquilpan,MX,20.4833,-99.2333,68.68,65,98,2.8,overcast clouds
Sri Aman,MY,1.2376,111.4621,78.85,89,91,0.0,light rain
Vestmannaeyjar,IS,63.4427,-20.2734,47.39,76,40,13.8,scattered clouds
San-Pedro,CI,4.7485,-6.6363,83.52,70,91,9.55,overcast clouds
Jasper,US,37.2001,-94.3502,63.0,88,100,4.0,overcast clouds
Coihaique,CL,-45.5752,-72.0662,44.55,65,40,8.05,scattered clouds
Coahuayana,MX,18.7333,-103.6833,87.64,59,80,0.45,broken clouds
Srandakan,ID,-7.9386,110.2506,59.74,88,65,4.38,broken clouds
Sulur,IN,11.0333,77.1333,81.01,69,20,9.22,haze
Tevaitoa,PF,-16.7833,-151.5,78.71,75,88,15.43,overcast clouds
Raga,SS,8.4596,25.678,76.12,76,96,3.29,light rain
Mursalimkino,RU,55.0379,58.5585,60.48,84,100,2.28,overcast clouds
Revelstoke,CA,50.9832,-118.2023,57.22,72,90,0.0,overcast clouds
Boquim,BR,-11.1469,-37.6206,75.2,75,41,5.84,scattered clouds
Kirovskiy,RU,45.0917,133.5136,54.09,89,100,5.5,overcast clouds
Amnat Charoen,TH,15.9167,104.75,87.58,58,72,8.28,broken clouds
Kronshagen,DE,54.3433,10.0994,71.49,45,0,9.22,clear sky
Mastic Beach,US,40.7668,-72.8521,73.33,80,100,5.01,overcast clouds
Cabatuan,PH,10.8794,122.486,78.01,88,100,10.13,heavy intensity rain
Aviles,ES,43.5547,-5.9248,63.93,84,75,8.01,broken clouds
Fairbanks,US,64.8378,-147.7164,55.09,87,90,6.91,light rain
La Ronge,CA,55.1001,-105.2842,61.05,63,20,4.61,few clouds
Benghazi,LY,32.1167,20.0667,73.76,65,24,14.16,few clouds
Sinnamary,GF,5.3833,-52.95,76.26,91,100,1.43,overcast clouds
Toowoomba,AU,-27.55,151.9667,52.25,89,99,2.84,overcast clouds
Riberalta,BO,-10.9833,-66.1,73.6,83,75,2.53,broken clouds
Quatre Cocos,MU,-20.2078,57.7625,69.91,84,98,9.78,moderate rain
Businga,CD,3.3333,20.8833,82.54,57,98,0.92,overcast clouds
Harer,ET,9.3094,42.1258,66.51,72,92,11.41,overcast clouds
Ono,JP,34.85,134.9333,70.68,83,92,3.89,moderate rain
Catamarca,AR,-28.4696,-65.7852,86.58,31,0,2.57,clear sky
Hambantota,LK,6.1241,81.1185,84.54,84,20,18.23,few clouds
Mujiayingzi,CN,42.1167,118.7833,59.45,46,88,0.78,overcast clouds
Chaman,PK,30.9236,66.4512,87.71,6,0,7.16,clear sky
Lundazi,ZM,-12.2929,33.1782,71.26,61,97,7.96,overcast clouds
Jinchang,CN,38.4953,102.1739,66.47,13,89,2.08,overcast clouds
Urucuca,BR,-14.5931,-39.2844,83.21,51,61,4.61,broken clouds
Peace River,CA,56.2501,-117.286,65.66,70,90,5.01,overcast clouds
Atengo,MX,20.1667,-99.3333,66.87,63,62,3.69,broken clouds
Altay,CN,47.8667,88.1167,68.23,36,1,6.17,clear sky
Houma,US,29.5958,-90.7195,84.0,73,75,8.05,broken clouds
Labuhan,ID,-6.8844,112.2051,79.81,84,13,6.38,few clouds
Cheremukhovo,RU,60.3484,59.9851,56.28,42,53,6.76,broken clouds
San Felipe,VE,10.3399,-68.7425,82.02,75,100,1.05,overcast clouds
Zavet,BG,43.7667,26.6667,46.81,96,100,14.83,overcast clouds
Shenkursk,RU,62.1091,42.896,52.52,57,100,6.91,overcast clouds
Suzun,RU,53.7841,82.3116,66.63,58,12,5.39,few clouds
Rosarito,MX,32.3333,-117.0333,62.44,80,75,2.93,broken clouds
Havre-Saint-Pierre,CA,50.2334,-63.5986,46.99,100,75,14.97,broken clouds
Batie,BF,9.8833,-2.9167,98.35,33,93,3.33,overcast clouds
Gongzhuling,CN,43.5008,124.8198,60.69,30,100,3.65,overcast clouds
Bichura,RU,50.5881,107.6022,36.95,99,100,4.12,overcast clouds
Wad Rawah,SD,15.1603,33.1397,111.49,7,3,15.75,clear sky
Bailen,ES,38.0964,-3.7779,79.65,22,15,15.64,few clouds
Sovetskiy,RU,61.3614,63.5842,57.94,36,96,9.08,overcast clouds
Nynashamn,SE,58.9034,17.9479,63.09,75,7,16.8,clear sky
Beringovskiy,RU,63.05,179.3167,28.89,89,47,9.31,scattered clouds
Seoul,KR,37.5683,126.9778,67.48,82,75,1.77,broken clouds
Ulaangom,MN,49.9811,92.0667,52.57,35,0,1.01,clear sky
Anloga,GH,5.7947,0.8973,89.82,72,87,14.43,overcast clouds
Manaquiri,BR,-3.3167,-60.35,90.05,43,16,4.03,few clouds
Morondava,MG,-20.2833,44.2833,75.47,71,97,11.34,overcast clouds
Wilmington,US,34.2257,-77.9447,76.95,66,1,6.91,clear sky
Inta,RU,66.0317,60.1659,38.75,58,99,23.53,overcast clouds
Sunndalsora,NO,62.6754,8.5515,68.05,30,39,3.91,scattered clouds
Ermelo,ZA,-26.5333,29.9833,45.84,78,83,5.59,broken clouds
Flinders,AU,-34.5833,150.8552,55.26,75,99,1.01,overcast clouds
Tukan,RU,53.8409,57.4552,65.1,71,85,2.51,overcast clouds
San Jeronimo,PE,-11.9472,-75.2829,55.81,59,99,1.07,overcast clouds
Bure,ET,10.7,37.0667,80.17,21,35,7.23,scattered clouds
King City,US,36.2127,-121.126,74.57,38,11,0.43,few clouds
Conceicao Do Araguaia,BR,-8.2578,-49.2647,89.73,45,0,4.14,clear sky
Praia Da Vitoria,PT,38.7333,-27.0667,66.45,55,40,15.26,scattered clouds
Murdochville,CA,48.9583,-65.5006,41.88,52,66,9.08,broken clouds
Ankang,CN,32.68,109.0172,72.36,79,100,2.59,overcast clouds
Batemans Bay,AU,-35.7167,150.1833,49.91,63,100,4.21,overcast clouds
Kedgwick,CA,47.6446,-67.3434,62.37,56,100,7.61,overcast clouds
Chumikan,RU,54.7183,135.315,37.96,93,32,1.66,scattered clouds
Elbistan,TR,38.2059,37.1983,68.2,46,4,14.63,clear sky
Ginir,ET,7.1333,40.7,64.17,73,93,11.79,overcast clouds
Ewa Beach,US,21.3156,-158.0072,76.69,82,25,6.55,scattered clouds
Quthing,LS,-30.4,27.7003,45.09,64,100,4.88,overcast clouds
Rocha,UY,-34.4833,-54.3333,64.58,57,100,14.16,overcast clouds
San Policarpo,PH,12.1791,125.5072,82.47,82,90,20.09,overcast clouds
Aranos,NA,-24.1333,19.1167,61.09,22,0,10.83,clear sky
Nelson Bay,AU,-32.7167,152.15,55.69,96,98,6.44,overcast clouds
Rio Grande,BR,-32.035,-52.0986,69.94,56,52,9.6,broken clouds
Porbandar,IN,21.6422,69.6093,91.38,62,40,13.8,scattered clouds
Gannan,CN,47.9147,123.5031,53.1,64,11,4.34,few clouds
Vardo,NO,70.3705,31.1107,53.8,87,98,18.77,overcast clouds
Krasnoturinsk,RU,59.7666,60.2086,56.25,41,20,6.89,few clouds
Sola,VU,-13.8833,167.55,79.75,77,69,23.8,broken clouds
Luderitz,NA,-26.6481,15.1594,71.13,36,0,18.52,clear sky
Bud,US,39.447,-86.1758,69.22,67,100,1.61,overcast clouds
Neiafu,TO,-18.65,-173.9833,70.48,94,90,5.75,moderate rain
Palauig,PH,15.435,119.9045,82.83,82,99,7.94,light rain
Massaguet,TD,12.4755,15.4365,96.84,18,66,7.14,broken clouds
Havelock,US,34.8791,-76.9013,78.06,61,90,7.0,overcast clouds
Liverpool,GB,53.4106,-2.9779,78.75,39,0,10.04,clear sky
Martapura,ID,-3.4167,114.85,78.89,89,13,2.1,few clouds
Ishinomaki,JP,38.4167,141.3,59.92,88,70,5.57,broken clouds
Yarada,IN,17.65,83.2667,88.12,84,40,12.15,mist
Villarrobledo,ES,39.2699,-2.6012,77.77,25,9,19.55,clear sky
Maputo,MZ,-25.9653,32.5892,73.08,79,75,1.99,moderate rain
Arona,ES,28.0996,-16.681,67.91,58,20,7.0,few clouds
Henties Bay,NA,-22.116,14.2845,61.86,64,1,6.49,clear sky
Candolim,IN,15.5181,73.7626,84.2,94,75,7.16,broken clouds
Winslow,US,35.0242,-110.6974,68.97,29,1,1.99,clear sky
Zabaykalsk,RU,49.6333,117.3167,46.13,44,48,4.7,scattered clouds
Nouadhibou,MR,20.931,-17.0347,71.58,73,0,23.02,clear sky
Gondanglegi,ID,-7.7479,112.0132,74.62,87,24,6.38,few clouds
Mirnyy,RU,62.5353,113.9611,57.02,62,100,3.0,overcast clouds
Norman Wells,CA,65.282,-126.8329,46.44,81,75,13.8,light rain
Nurota,UZ,40.5614,65.6886,96.89,12,1,10.09,clear sky
Makarska,HR,43.2969,17.0178,78.94,57,43,8.37,scattered clouds
Pangnirtung,CA,66.1451,-65.7125,39.2,60,90,14.97,overcast clouds
Praia Grande,BR,-24.0058,-46.4028,79.23,68,40,6.51,scattered clouds
Tieli,CN,46.95,128.05,48.87,88,46,3.85,scattered clouds
Mackay,AU,-21.15,149.2,66.69,94,75,8.05,broken clouds
Morrope,PE,-6.5417,-80.0111,66.81,73,81,11.39,broken clouds
Mabaruma,GY,8.2,-59.7833,79.57,91,58,6.15,broken clouds
Isla Vista,US,34.4133,-119.861,59.43,94,90,0.0,mist
Shetpe,KZ,44.1667,52.1167,87.39,25,0,6.51,clear sky
Ypsonas,CY,34.6884,32.9574,81.36,52,0,17.47,clear sky
Roseburg,US,43.2165,-123.3417,66.38,64,11,0.76,few clouds
Aktau,KZ,43.65,51.2,82.98,52,7,7.99,clear sky
Gaoual,GN,11.75,-13.2,95.61,40,96,4.99,overcast clouds
Korem,ET,12.5058,39.5228,71.44,26,7,11.68,clear sky
Corn Island,NI,12.1694,-83.0418,82.02,75,67,17.29,broken clouds
Santa Cruz,BO,-17.8,-63.1667,74.66,64,75,4.61,broken clouds
Road Town,VG,18.4167,-64.6167,85.19,70,40,10.36,scattered clouds
Kingston,JM,17.997,-76.7936,86.16,60,20,1.01,few clouds
Markala,ML,13.7021,-6.0659,105.87,16,11,7.83,few clouds
Cambre,ES,43.2944,-8.3474,68.02,67,75,13.8,broken clouds
Mehamn,NO,71.0357,27.8492,46.58,98,100,20.45,overcast clouds
Ugoofaaru,MV,5.6667,73.0,83.35,70,89,17.05,overcast clouds
Sumkino,RU,58.1108,68.3244,56.84,47,47,3.94,scattered clouds
Tokmak,UA,47.2514,35.7058,68.27,77,88,10.42,overcast clouds
Obigarm,TJ,38.7173,69.7088,63.27,74,85,8.68,overcast clouds
Huilong,CN,31.8111,121.655,74.03,86,100,23.26,light rain
Malkerns,SZ,-26.5667,31.1833,57.06,89,72,4.34,light rain
Hay River,CA,60.8156,-115.7999,60.78,63,75,3.44,broken clouds
Opuwo,NA,-18.0607,13.84,82.4,11,63,4.61,broken clouds
Belyy Yar,RU,53.6039,91.3903,57.09,47,0,5.19,clear sky
Trelew,AR,-43.249,-65.3051,52.36,50,13,20.29,few clouds
Nikel,RU,69.4128,30.222,55.58,69,99,11.9,overcast clouds
Bubaque,GW,11.2833,-15.8333,79.0,79,100,8.1,overcast clouds
Caruray,PH,10.3094,119.0128,80.67,85,98,5.3,overcast clouds
Sibiti,CG,-3.6819,13.3499,77.88,72,100,3.29,overcast clouds
Rabo De Peixe,PT,37.8,-25.5833,63.91,55,40,16.82,scattered clouds
Diffa,NE,13.3154,12.6113,106.3,11,42,3.22,scattered clouds
Enid,US,36.3956,-97.8784,64.15,94,90,12.66,mist
San,ML,13.3034,-4.8956,104.41,20,98,8.01,overcast clouds
Southbridge,US,42.0751,-72.0334,69.82,65,100,6.98,overcast clouds
Trofors,NO,65.5333,13.4063,73.27,33,19,5.03,few clouds
Selfoss,IS,63.9331,-20.9971,53.04,70,97,15.75,overcast clouds
Schmallenberg,DE,51.15,8.3,73.45,40,38,7.87,scattered clouds
Tyrma,RU,50.0833,132.1667,52.39,95,100,3.13,moderate rain
Gambela,ET,8.25,34.5833,73.89,91,94,3.33,light rain
Xichang,CN,27.8964,102.2634,65.53,86,99,2.57,overcast clouds
Maloy,NO,61.9353,5.1136,79.0,61,12,3.09,few clouds
Paramonga,PE,-10.6667,-77.8333,67.19,81,100,8.88,overcast clouds
Camacha,PT,33.0833,-16.3333,66.96,82,75,14.97,broken clouds
Omboue,GA,-1.5746,9.2618,79.56,74,100,7.92,overcast clouds
Yagodnoye,RU,62.55,149.6667,37.89,75,51,3.44,broken clouds
Northam,GB,51.0333,-4.2167,73.02,70,100,12.75,overcast clouds
Bastia,FR,42.6667,9.3333,75.02,51,0,3.27,clear sky
Puerto Leguizamo,CO,-0.1934,-74.7819,82.87,67,62,1.74,broken clouds
Poyarkovo,RU,49.6,128.6833,52.48,93,87,8.84,overcast clouds
Kursk,RU,51.7303,36.1939,54.75,58,75,15.66,light rain
Biltine,TD,14.5333,20.9167,98.15,19,97,14.45,overcast clouds
Kpandae,GH,8.4689,-0.0113,89.71,49,99,7.11,overcast clouds
Egvekinot,RU,66.3167,-179.1667,24.24,81,95,6.58,overcast clouds
Atar,MR,20.5169,-13.0499,105.93,15,40,7.94,scattered clouds
Yarensk,RU,62.1675,49.0916,50.83,45,69,6.91,broken clouds
Kristinehamn,SE,59.3098,14.1081,70.36,44,66,11.56,broken clouds
Ginda,IN,30.6945,78.4932,59.58,82,51,4.05,broken clouds
Miandrivazo,MG,-19.5167,45.4667,82.74,40,100,5.06,overcast clouds
Oktyabrskoye,RU,43.0645,44.7417,78.94,47,75,4.83,broken clouds
Paratinga,BR,-12.6906,-43.1842,93.81,27,19,1.79,few clouds
Santa Rosa,PH,14.3122,121.1114,87.78,79,89,4.94,overcast clouds
Maceio,BR,-9.6658,-35.7353,85.44,61,40,7.45,scattered clouds
Bobo Dioulasso,BF,11.1771,-4.2979,90.05,62,0,4.61,clear sky
La Palma,US,33.8464,-118.0467,74.97,84,22,1.99,few clouds
Christchurch,NZ,-43.5333,172.6333,42.48,95,28,5.75,fog
Mozarlandia,BR,-14.7447,-50.5706,93.92,22,70,4.79,broken clouds
Hammerfest,NO,70.6634,23.6821,50.45,76,75,6.91,broken clouds
Copperas Cove,US,31.1241,-97.9031,69.51,92,40,12.66,scattered clouds
Boma,GH,7.0805,-2.1697,93.42,41,56,4.41,broken clouds
Faya,SA,18.3851,42.4509,86.52,11,1,19.39,clear sky
Wilmington Island,US,32.0036,-80.9737,77.99,61,90,1.01,overcast clouds
Olafsvik,IS,64.8945,-23.7142,45.97,75,80,16.69,broken clouds
Bukachacha,RU,52.9833,116.9167,48.31,97,100,4.59,light rain
Ambovombe,MG,-25.1667,46.0833,67.95,79,100,18.95,overcast clouds
Basseterre,KN,17.2948,-62.7261,84.31,69,40,16.11,scattered clouds
Prince Rupert,CA,54.3161,-130.3201,55.49,97,90,4.61,moderate rain
Xuddur,SO,4.1213,43.8894,80.98,52,100,17.45,overcast clouds
Charlottetown,CA,46.2352,-63.1267,56.19,69,75,8.99,broken clouds
Nuuk,GL,64.1835,-51.7216,40.87,75,68,8.99,broken clouds
Ust-Koksa,RU,50.2696,85.6108,61.39,54,8,2.91,clear sky
Kohtla-Jarve,EE,59.3986,27.2731,55.53,66,94,10.98,overcast clouds
Brownsville,US,25.9018,-97.4975,80.91,62,24,12.46,few clouds
Nemuro,JP,43.3236,145.575,43.16,81,71,6.69,broken clouds
Bani Walid,LY,31.7566,13.9942,94.15,17,100,14.38,overcast clouds
Enkhuizen,NL,52.7,5.2833,79.11,65,34,12.01,scattered clouds
Sao Felix Do Xingu,BR,-6.6447,-51.995,89.35,39,3,4.29,clear sky
Kesinga,IN,20.2,83.2333,86.05,59,96,6.4,overcast clouds
Lolodorf,CM,3.2333,10.7333,73.18,96,100,1.41,overcast clouds
Berezovyy,RU,51.6667,135.7,52.56,82,74,3.15,broken clouds
Mareeba,AU,-17.0,145.4333,63.32,95,91,1.72,overcast clouds
Konibodom,TJ,40.2843,70.4426,91.17,20,30,4.99,scattered clouds
Poya,NC,-21.35,165.15,65.93,74,47,5.23,scattered clouds
Los Andes,CL,-32.8337,-70.5983,61.9,36,100,0.51,overcast clouds
Bikaner,IN,28.0167,73.3,101.86,20,0,7.7,clear sky
Bosaso,SO,11.2842,49.1816,89.58,74,40,12.66,scattered clouds
Laurinburg,US,34.7741,-79.4628,77.85,48,76,4.36,broken clouds
Bouloupari,NC,-21.8667,166.05,68.95,70,60,4.54,broken clouds
Lakes Entrance,AU,-37.8811,147.981,44.58,59,100,4.47,overcast clouds
Padang,ID,-0.9492,100.3543,78.85,85,57,3.33,broken clouds
Birao,CF,10.2849,22.7882,100.06,24,100,6.2,overcast clouds
Napasar,IN,27.9667,73.55,101.71,21,0,8.5,clear sky
Bac Lieu,VN,9.285,105.7244,83.61,78,29,8.41,scattered clouds
Honiara,SB,-9.4333,159.95,78.24,90,93,4.52,overcast clouds
Imeni Poliny Osipenko,RU,52.4201,136.4853,52.59,75,92,4.72,overcast clouds
Bangassou,CF,4.7413,22.8184,84.51,58,98,7.96,light rain
Burnie,AU,-41.0667,145.9167,51.93,80,100,4.0,overcast clouds
Kungurtug,RU,50.5994,97.5228,38.44,67,2,1.05,clear sky
Tupik,RU,54.4253,119.9327,47.79,93,87,3.8,overcast clouds
Moba,CN,33.2288,105.0179,58.32,79,100,3.18,overcast clouds
Ulaanbaatar,MN,47.9077,106.8832,37.53,56,40,3.0,scattered clouds
Holme,DK,56.1138,10.1725,70.95,77,100,7.02,overcast clouds
Pavino,RU,59.1139,46.1414,59.27,45,66,7.2,broken clouds
Muncar,ID,-8.4333,114.3333,73.71,87,53,0.96,broken clouds
Gao,ML,16.6362,1.637,109.2,6,43,5.84,scattered clouds
Jacksonville,US,30.3322,-81.6556,82.62,64,40,1.99,scattered clouds
Ovsyanka,RU,55.9575,92.5519,58.17,69,40,2.53,scattered clouds
Tapejara,BR,-28.0681,-52.0139,61.3,48,2,4.92,clear sky
Xiongyue,CN,40.1774,122.1228,61.95,88,37,10.13,light rain
